#
#   VizieR Astronomical Server vizier.u-strasbg.fr
#    Date: 2016-01-31T06:00:53 [V1.99+ (14-Oct-2013)]
#   In case of problem, please report to:	cds-question@unistra.fr
#
#
#Coosys	J2000:	eq_FK5 J2000
#INFO	votable-version=1.99+ (14-Oct-2013)	
#INFO	-ref=VIZ56ada2c5a991	
#INFO	-out.max=unlimited	
#INFO	queryParameters=17	
#-oc.form=dec
#-out.max=unlimited
#-out.add=_r
#-out.add=_RAJ,_DEJ
#-sort=_r
#-order=I
#-out.src=J/ApJS/141/503/table1
#-nav=cat:J/ApJS/141/503&tab:{J/ApJS/141/503/table1}&key:source=J/ApJS/141/503/table1&HTTPPRM:&&-ref=VIZ56ada2c5a991&-out.max=unlimited&-out.form=HTML Table&-out.add=_r&-out.add=_RAJ,_DEJ&-sort=_r&-oc.form=sexa&-c.eq=J2000&-c.r=  2&-c.u=arcmin&-c.geom=r&-order=I&-out=Name&-ignore=Simbad=*&Simbad=Simbad&-out=Date&-out=<RV>&-file=.&-meta.ucd=2&-meta=1&-meta.foot=1&-usenav=1&-bmark=POST&-out.src=J/ApJS/141/503/table1
#-c.eq=J2000
#-c.r=  2
#-c.u=arcmin
#-c.geom=r
#-source=J/ApJS/141/503/table1
#-order=I
#-out=Name
#-out=Date
#-out=<RV>
#

#RESOURCE=yCat_21410503
#Name: J/ApJS/141/503
#Title: Radial Velocities for 889 late-type stars (Nidever+, 2002)
#Table	J_ApJS_141_503_table1:
#Name: J/ApJS/141/503/table1
#Title: Radial velocities of stable stars with RMS<100m/s
#Column	_RAJ2000	(F8.4)	Right ascension (FK5, Equinox=J2000.0) (computed by VizieR, not part of the original data)	[ucd=pos.eq.ra]
#Column	_DEJ2000	(F8.4)	Declination (FK5, Equinox=J2000.0) (computed by VizieR, not part of the original data)	[ucd=pos.eq.dec]
#Column	Name	(a12)	Primary name	[ucd=meta.id;meta.main]
#Column	Date	(I7)	Mean time of observation	[ucd=time.epoch]
#Column	<RV>	(I7)	Mean barycentric radial velocity	[ucd=phys.veloc;pos.barycenter]
_RAJ2000	_DEJ2000	Name	Date	<RV>
041.5720	+11.7752	HD  17230   	2451443	  11061
041.8643	+19.3718	HD  17332   	2451481	   4427
042.6537	+15.7099	HD  17660   	2451396	 -28904
043.1339	-12.7697	HD  17925   	2449385	  18068
043.9127	+26.8732	HD  18143   	2451079	  31950
043.8225	+16.3092	HD  18144   	2451418	  -1329
044.7653	+35.1831	HD  18449   	2451487	 -37021
045.0117	+07.7498	HD  18632   	2451263	  28826
045.6084	+26.6092	HD  18803   	2451210	   9878
045.4068	-28.0916	HD  18907   	2451172	  42718
045.9123	-05.6663	HD  19034   	2451082	 -20344
046.9142	+36.6176	HD  19308   	2451234	  32723
047.2667	+49.6133	HD  19373   	2447328	  49449
046.8274	-13.7618	HD  19467   	2450996	   6936
048.1935	-01.1961	HD  19994   	2449069	  19331
048.6968	+08.9808	HD  20165   	2451070	 -16676
049.7579	-02.8432	HD  20619   	2450941	  22689
049.8404	+03.3702	HD  20630   	2447834	  19021
050.8238	-07.7941	HD  21019   	2450991	  41630
051.2489	-05.3638	HD  21197   	2451145	 -13107
051.8725	+34.8066	HD  21313   	2451901	 -20017
053.1663	+35.6593	HD  21847   	2451263	  30033
053.2327	-09.4583	HD  22049   	2447147	  16332
053.5349	+17.8328	HD  22072   	2451070	  11050
054.2183	+00.4017	HD  22484   	2448391	  28080
055.0919	-03.2170	HD  22879   	2451076	 120356
055.8121	-09.7634	HD  23249   	2451162	  -6295
055.9806	-19.1109	HD  23356   	2451220	  25287
056.7588	+41.4273	HD  23439   	2451102	  50704
057.5957	+17.4764	HD  24040   	2451278	  -9423
058.0475	+25.1631	HD  24213   	2451181	 -39608
058.7660	+61.1668	HD  24238   	2451038	  38809
058.7133	+52.4199	HD  24341   	2451038	 142798
058.4073	+28.1481	HD  24365   	2451092	  19278
060.3318	+76.1594	HD  24451   	2451404	  17670
058.6168	+16.6161	HD  24496   	2451236	  18936
058.9556	-04.5268	HD  24727   	2451304	 -18140
059.1194	-25.1813	HD  24892   	2450952	  45410
059.3696	-01.1595	HD  24916   	2451245	   3540
059.7183	-05.4699	HD  25069   	2451133	  38484
062.3960	+69.5414	HD  25665   	2451436	 -13546
061.3344	+22.0089	HD  25680   	2449509	  24034
061.0946	-12.7923	HD  25723   	2451490	  26748
062.0594	+44.6628	HD  25918   	2451538	 -36198
061.8363	-27.4257	HD  26151   	2451416	  -6804
062.4119	+31.6521	HD  26161   	2451236	  12924
062.2915	+19.6092	HD  26162   	2451497	  24776
063.6136	+12.4353	HD  26767   	2451728	  38288
063.6262	+03.0221	HD  26794   	2450980	  56573
063.8180	-07.6529	HD  26965   	2447657	 -42331
066.8529	+46.8532	HD  28005   	2451231	  34768
066.3490	-35.6756	HD  28187   	2450990	  18321
067.2505	+21.9227	HD  28343   	2451476	 -35073
067.2012	+17.2855	HD  28344   	2451524	  39145
068.0329	+21.6324	HD  28676   	2451305	   6671
068.4600	+05.3850	HD  28946   	2451395	 -46353
069.0582	+21.5365	HD  29150   	2451396	  -6615
069.9021	+13.1231	HD  29528   	2451901	 -18922
070.8976	+27.6874	HD  29883   	2451359	  17843
072.1516	-05.6740	HD  30562   	2451370	  77189
072.8727	+35.8151	HD  30708   	2451209	 -55738
073.6819	+12.3522	HD  31253   	2451345	  12184
073.9246	-28.5639	HD  31560   	2451162	   6203
075.1408	+14.3838	HD  31966   	2451239	 -18058
075.2042	-05.7537	HD  32147   	2449858	  21552
076.8625	+18.6451	HD  32923   	2451305	  20558
076.9824	+26.3280	HD  32963   	2451235	 -62435
076.9096	+09.4718	HD  33021   	2451070	 -22300
078.3227	+37.3373	HD  33632   	2451182	  -1707
077.9435	+04.4035	HD  33636   	2451411	   5714
077.9191	-45.0184	HD  33793   	2451376	 245194
079.7853	+40.0991	HD  34411   	2447970	  66511
079.4207	+07.3533	HD  34445   	2451256	 -78949
080.5823	+59.2779	HD  34575   	2451731	 -23520
079.7103	-18.1301	HD  34721   	2451041	  40448
079.9543	+02.5136	HD  34745   	2451255	  35376
081.4717	-06.3627	HD  35627   	2451208	  27267
082.0039	+33.7637	HD  35681   	2451195	  12136
081.7777	-31.5662	HD  35974   	2451017	  76683
082.1087	-03.4996	HD  36003   	2451214	 -55527
082.8642	-03.6772	HD  36395   	2450194	   8665
084.2604	+20.7308	HD  37124   	2451203	 -23076
083.9212	-27.6208	HD  37213   	2451088	  12464
085.3347	+53.4811	HD  37394   	2449701	   1207
085.0734	+16.3928	HD  37588   	2450857	 -58276
085.2165	-31.3511	HD  37962   	2450899	   3133
086.5079	+37.2846	HD  38230   	2451058	 -29177
086.6455	+01.1682	HD  38529   	2451273	  30210
087.1456	-04.0946	HD  38858   	2451017	  31543
088.6191	+02.1422	HD  39715   	2451461	 -33797
089.0143	+13.9249	HD  39881   	2451025	    333
089.5897	-04.6507	HD  40397   	2451113	 143621
090.6881	+47.8095	HD  40650   	2451030	 -76840
091.1248	+44.2604	HD  40979   	2450955	  32542
094.0112	+70.7816	HD  42250   	2450908	  19715
092.6442	-21.8646	HD  42581   	2450801	   4724
093.0024	+06.7831	HD  42618   	2451054	 -53501
094.7700	+47.3940	HD  43523   	2451261	 -16172
094.2650	-22.7152	HD  43745   	2450964	  -2716
094.9174	+16.0132	HD  43947   	2451181	  40545
095.4314	-00.5391	HD  44420   	2451745	   -531
096.3344	+11.2332	HD  44985   	2451227	  32253
096.3189	-00.9459	HD  45067   	2451118	  47280
096.1828	-28.7801	HD  45184   	2450940	  -3856
097.1905	+38.9630	HD  45350   	2451819	 -20727
097.1918	+36.4800	HD  45391   	2451459	  -5388
096.7974	-25.8565	HD  45588   	2450911	  35856
098.3026	+05.4629	HD  46375   	2451491	  -1032
099.3912	+12.1806	HD  47127   	2451279	  49694
099.3825	+09.1443	HD  47157   	2451549	  25330
100.3155	+23.9577	HD  47752   	2451585	 -44253
101.6847	+43.5774	HD  48682   	2448280	 -23933
101.2165	-27.3417	HD  48938   	2450927	 -10563
102.8772	+40.8678	HD  49674   	2451963	  12045
102.7518	+25.7604	HD  49736   	2451048	   6687
103.0752	-05.1737	HD  50281   	2450546	  -7082
103.0084	-33.9156	HD  50499   	2450971	  36793
103.6784	+24.2456	HD  50554   	2451219	  -3888
103.8278	+25.3757	HD  50692   	2450965	 -15023
103.3914	-28.5398	HD  50806   	2450870	  72388
104.1424	+01.1621	HD  51219   	2451074	  -8071
105.4108	+48.3787	HD  51866   	2451060	 -21624
105.0752	-05.3672	HD  52265   	2451370	  53810
105.3982	+06.9268	HD  52456   	2451325	 -11909
105.8769	+29.3371	HD  52711   	2449614	  24604
106.4699	-01.0205	HD  53665   	2451232	 -14703
108.9589	+47.2400	HD  55575   	2451386	  84809
109.2897	+33.0921	HD  56124   	2451324	  22526
108.9616	-13.0495	HD  56274   	2450929	  66663
109.1518	+01.8788	HD  56303   	2451164	   8150
111.9616	+19.0448	HD  58781   	2451285	   5013
113.2524	+37.0298	HD  59747   	2451441	 -15744
113.6090	-06.8967	HD  60491   	2451385	  -9667
114.9972	-03.5975	HD  61606   	2451255	 -18210
116.3959	-34.1724	HD  63077   	2450415	 106159
117.4794	+27.3632	HD  63433   	2451232	 -15888
117.4386	-20.2076	HD  63754   	2450867	  44973
118.3880	+30.6051	HD  64090   	2450968	-234268
119.4908	-00.8144	HD  65277   	2451005	  -4417
120.1339	+29.2124	HD  65583   	2450958	  14832
122.0439	+71.9244	HD  66171   	2450944	  36412
120.8694	-01.1627	HD  66428   	2451926	  44140
121.9411	+21.5818	HD  67228   	2451431	 -36012
121.7522	-29.4029	HD  67458   	2451047	 -15686
122.6133	+25.5073	HD  67767   	2451038	 -44318
122.9110	+32.4571	HD  68017   	2451068	  29575
122.9550	+16.5239	HD  68168   	2451144	   9162
123.3937	-31.7354	HD  68978   	2450937	  51696
124.8058	+14.2007	HD  69809   	2451743	  17534
125.0161	+27.2177	HD  69897   	2448392	  32733
126.1892	+17.1818	HD  70843   	2451267	 -13087
126.9033	+45.6530	HD  71148   	2451177	 -32342
126.4563	-29.9306	HD  71334   	2451120	  17286
126.8964	-05.1486	HD  71479   	2451255	  60217
127.9793	+50.6167	HD  71881   	2451046	  13629
128.5133	-01.5682	HD  72659   	2451255	 -18253
128.2146	-31.5009	HD  72673   	2450792	  14785
128.6319	-00.7261	HD  72760   	2451386	  34928
129.6897	+23.6859	HD  73344   	2451161	   6097
129.4596	-06.8069	HD  73350   	2451052	  35370
129.9616	+11.5227	HD  73667   	2450981	 -12088
130.3273	-04.8089	HD  74014   	2451462	 -17089
132.6343	+33.2851	HD  75332   	2451173	   4256
133.1492	+28.3308	HD  75732   	2449301	  27351
133.5748	-05.4345	HD  76151   	2449469	  32002
134.7078	+25.4050	HD  76752   	2451358	 -12577
134.8433	+07.4150	HD  76909   	2451725	   3045
135.8628	+37.8410	HD  77407   	2450843	   4827
137.2128	+33.8822	HD  78366   	2449485	  26120
138.5950	+52.6866	HD  79210   	2451045	  11142
138.6029	+52.6864	HD  79211   	2451077	  12495
139.8680	+00.8971	HD  80367   	2451416	  51009
142.4784	+05.6551	HD  82106   	2450970	  29836
144.2993	-43.2722	HD  83443   	2451982	  28994
145.8569	+42.6916	HD  84035   	2450989	 -12225
147.1474	+46.0210	HD  84737   	2448233	   4900
148.2418	-27.3322	HD  85725   	2450726	  61610
150.2527	+31.9237	HD  86728   	2448649	  55956
151.1116	-07.2184	HD  87359   	2451113	   -260
151.1569	-11.7297	HD  87424   	2451316	 -12133
152.1244	+33.5146	HD  87836   	2451568	 -42188
152.1797	+34.2423	HD  87883   	2451311	   9254
152.3476	+02.3711	HD  88072   	2451062	 -17886
152.3824	-35.8568	HD  88218   	2451010	  36652
152.8423	+49.4542	HD  88230   	2448883	 -25729
152.9503	+23.7552	HD  88371   	2451006	  82497
153.5347	+03.1513	HD  88725   	2450999	 -22045
154.1170	+28.6825	HD  88986   	2450818	  29019
154.7165	+44.0483	HD  89269   	2450979	  -7551
154.5887	+12.6211	HD  89307   	2451074	  23011
154.6046	-26.5003	HD  89391   	2451167	  29607
156.0549	+02.3680	HD  90125   	2451054	 -13937
155.9803	-29.6455	HD  90156   	2450899	  26934
157.0506	-06.6006	HD  90711   	2451012	  29940
157.0580	-16.2892	HD  90722   	2451703	  39984
157.6566	+55.9805	HD  90839   	2448584	   8529
157.6958	+59.7511	HD  90875   	2451381	   4948
158.0229	+17.9897	HD  91204   	2451853	  -8875
158.7092	-03.8997	HD  91638   	2451056	  -4751
160.7022	-02.1838	HD  92788   	2451535	  -4529
160.8678	-29.0643	HD  92945   	2451323	  22856
162.2522	-31.0591	HD  93745   	2451019	  37947
164.1283	+07.3885	HD  94765   	2451599	   5525
164.8666	+40.4303	HD  95128   	2449800	  11235
165.6598	+21.9671	HD  95650   	2451816	 -13899
165.8341	+35.9699	HD  95735   	2450213	 -84689
166.7703	+25.5371	HD  96418   	2451101	  -8013
166.9008	+13.8588	HD  96574   	2451271	  36055
166.9768	-30.1746	HD  96700   	2450995	  12769
167.6583	+42.4263	HD  97004   	2451361	   5352
167.5556	-07.3894	HD  97037   	2451294	 -15914
167.7716	+30.4460	HD  97101   	2450384	 -16376
167.7603	+30.4449	HD  97101B  	2450307	 -15333
168.1348	+35.8141	HD  97334   	2449429	  -3662
168.0050	-26.1367	HD  97343   	2451051	  39794
168.6382	+25.7104	HD  97658   	2450965	  -1654
169.5917	-05.0673	HD  98281   	2451044	  13330
170.3711	+58.4844	HD  98618   	2451242	   7058
170.3616	+06.6350	HD  98697   	2451441	 -14312
171.0723	-01.5291	HD  99109   	2451478	  32997
171.6888	+03.0131	HD  99491   	2451047	   4190
171.6928	+03.0063	HD  99492   	2451110	   3726
172.9373	+14.3645	HD 100180   	2451017	  -4854
173.6229	-32.8313	HD 100623   	2451003	 -21959
174.6871	+45.1084	HD 101177   	2451461	 -16912
174.7518	-24.7211	HD 101259   	2451077	  96905
175.2626	+34.2016	HD 101501   	2447992	  -5565
176.3771	+47.6669	HD 102158   	2451009	  28122
177.2553	-00.3187	HD 102634   	2451099	   1254
177.6738	+01.7647	HD 102870   	2447466	   4448
178.2449	+37.7187	HD 103095   	2451289	 -98073
178.6336	+19.4112	HD 103432   	2451033	   6079
179.4842	-27.7070	HD 103932   	2451114	  48499
179.7917	-20.3538	HD 104067   	2451247	  15021
180.5868	+43.1406	HD 104526   	2450539	   4635
180.6205	+43.0841	HD 104556   	2451057	 -10678
181.0232	+03.3408	HD 104800   	2451820	   9989
181.5216	-32.9612	HD 105113   	2451070	  31871
182.0290	+39.6555	HD 105405   	2451412	   2196
182.3689	-11.8571	HD 105590   	2450733	   1976
182.4026	+11.2116	HD 105618   	2451957	   7466
182.4052	+40.2521	HD 105631   	2451033	  -2428
183.1202	-03.0845	HD 106116   	2451063	  14543
183.2397	+10.0377	HD 106156   	2451063	  -7415
184.8062	-03.3198	HD 107148   	2451890	  25216
185.6335	+05.3054	HD 107705   	2451278	   4759
186.9812	-08.6780	HD 108510   	2451207	   6888
187.6120	+22.8798	HD 108874   	2451521	 -30137
188.4356	+41.3575	HD 109358   	2451735	   6259
190.2770	+15.3767	HD 110315   	2451108	  24604
190.7472	-04.0493	HD 110537   	2451386	  35461
191.6285	-11.8124	HD 111031   	2451051	 -20458
191.6362	+24.1450	HD 111066   	2451351	   6407
192.2184	+12.0964	HD 111398   	2451411	   3154
192.3951	+03.8182	HD 111484   	2451408	 -20643
192.3951	+03.8184	HD 111484B  	2451387	 -19377
192.4368	+01.1880	HD 111515   	2451059	   2548
192.6815	-00.7681	HD 111631   	2451901	   5041
193.7844	+27.7664	HD 112257   	2451044	 -39428
197.2126	+05.2072	HD 114174   	2451083	  24002
197.9683	+27.8782	HD 114710   	2447397	   5295
198.1844	-31.8733	HD 114729   	2451380	  64925
198.1824	-02.2650	HD 114783   	2451551	 -12012
198.5454	-19.9309	HD 114946   	2451118	 -48181
199.1938	+09.4242	HD 115383   	2448623	 -27138
199.5564	-14.5821	HD 115589   	2451434	 -21614
199.6013	-18.3112	HD 115617   	2449770	  -7850
200.9131	+02.7233	HD 116442   	2451301	  28421
200.9202	+02.7253	HD 116443   	2451155	  27416
202.3380	-35.5710	HD 117207   	2451199	 -17476
203.3850	+08.5868	HD 117936   	2451404	  -6086
204.8385	+31.7742	HD 118914   	2451950	  16460
206.4324	+14.8915	HD 119850   	2450336	  15809
206.7380	+06.3504	HD 120066   	2451205	 -30561
207.4367	-22.1111	HD 120467   	2451252	 -37806
207.2666	+26.9799	HD 120476   	2451492	 -20380
208.9583	+14.0565	HD 121560   	2451016	 -10532
209.3836	+61.4929	HD 122064   	2451958	 -26471
209.8308	+22.8698	HD 122120   	2451130	 -57444
210.2633	-02.6549	HD 122303   	2451497	 -25813
210.6318	+31.6609	HD 122652   	2451177	   1409
212.9424	-12.6118	HD 124106   	2451117	   3288
213.1885	-03.3201	HD 124292   	2451104	  37773
213.4878	+30.2172	HD 124642   	2451585	 -16242
213.4639	+46.3252	HD 124694   	2451016	 -14644
214.5030	-07.5424	HD 125184   	2451184	 -12377
214.8953	-05.1512	HD 125455   	2451154	  -9806
215.8137	+01.2416	HD 126053   	2450208	 -19241
216.7012	-05.1778	HD 126614   	2451485	 -33086
217.1297	+02.7888	HD 126961   	2451050	  -5839
217.4034	+41.7959	HD 127334   	2451129	   -405
218.6701	+29.7451	HD 128167   	2448333	    141
219.0023	+09.7465	HD 128311   	2451392	  -9569
219.2237	-04.2790	HD 128428   	2451063	 -42074
220.2326	-26.4287	HD 129010   	2451149	  -8137
220.3174	-04.9449	HD 129191   	2451827	  12685
221.4866	+10.0520	HD 130087   	2451835	 -15673
221.8171	+02.7032	HD 130307   	2451218	  12864
221.8864	-00.2815	HD 130322   	2452038	 -12441
222.5873	+06.8149	HD 130871   	2451147	 -32159
222.5659	+23.9118	HD 130948   	2449090	  -2502
222.9186	-24.3041	HD 130992   	2451256	 -57160
223.1379	-30.5773	HD 131117   	2451105	 -28834
222.8462	+19.1006	HD 131156A  	2447325	   1303
222.8462	+19.1006	HD 131156B  	2449090	   3274
223.2997	+28.5083	HD 131509   	2451090	 -44625
224.3667	-21.4155	HD 131977   	2450272	  26961
223.7960	+53.6803	HD 132142   	2451094	 -14771
224.7199	-04.9893	HD 132375   	2451139	 -24370
225.6377	+16.0550	HD 133161   	2451181	 -32628
226.6464	+36.4561	HD 134044   	2451222	  -5874
227.5545	-16.3794	HD 134439   	2451090	 310084
227.5540	-16.4629	HD 134440   	2451365	 310614
228.3694	-25.3093	HD 134987   	2450962	   5038
228.1812	+19.2860	HD 135101   	2451259	 -38921
228.9965	+00.7964	HD 135599   	2451108	  -3149
230.1959	-02.4133	HD 136442   	2451483	 -46935
230.2087	+31.4801	HD 136654   	2451020	 -27029
230.6529	-10.6611	HD 136713   	2451090	  -6037
230.6773	+01.4186	HD 136834   	2450982	 -26374
230.6951	+18.9190	HD 136923   	2451196	  -7042
230.7169	+13.3664	HD 136925   	2451253	 -48942
232.0509	-09.3579	HD 137778   	2451234	   7752
233.4732	-31.0190	HD 138549   	2451100	  12024
233.1819	+10.9683	HD 138573   	2451221	 -35691
233.5705	-02.7241	HD 138776   	2451509	  10674
233.9857	+39.8311	HD 139323   	2451092	 -67101
234.4967	+10.2399	HD 139457   	2451427	  37708
233.8335	+60.0870	HD 139477   	2451387	  -8893
236.6109	+07.3531	HD 141004   	2448789	 -66416
236.8212	-00.2699	HD 141103   	2451106	 -48258
238.1689	+42.4515	HD 142373   	2448418	 -56107
239.1133	+15.6616	HD 142860   	2447746	   6544
239.6334	+27.7400	HD 143291   	2451065	 -72474
240.2611	+33.3035	HD 143761   	2450900	  17949
241.4132	-32.8624	HD 144179   	2450875	 -24253
241.2366	+39.1565	HD 144579   	2451094	 -59431
241.7640	-14.0713	HD 144585   	2451112	 -14067
242.5023	-35.6426	HD 144988   	2451116	 -53211
242.3610	+11.5745	HD 145229   	2451100	 -36204
242.3229	+41.0952	HD 145435   	2451086	 -42685
242.6013	+43.8176	HD 145675   	2451307	 -13693
243.4181	-21.4000	HD 145809   	2451088	  21146
243.4621	-11.8377	HD 145897   	2451457	 -23611
243.2912	+13.2395	HD 145934   	2451342	 -27954
243.3269	+13.5269	HD 145958   	2451183	  18422
243.9053	-08.3694	HD 146233   	2451245	  11748
243.6692	+33.8586	HD 146362   	2451121	 -14855
244.7851	-28.2939	HD 146775   	2451116	 -30218
244.5245	+34.4828	HD 147044   	2451339	 -14560
243.7094	+70.9297	HD 147231   	2451182	 -16461
244.1781	+67.2388	HD 147379   	2452021	 -18789
244.1888	+67.2562	HD 147379B  	2452040	 -18530
246.0825	-13.6417	HD 147776   	2451541	   7341
246.9871	+07.3054	HD 148467   	2451686	 -36207
247.1416	+00.6650	HD 148513   	2451443	   7723
248.3474	-04.2620	HD 149200   	2451017	  -7176
249.0126	+01.3814	HD 149652   	2451080	 -31167
249.0894	-02.3246	HD 149661   	2450107	 -12857
249.2851	+00.2543	HD 149806   	2451358	  10391
250.2842	-02.8573	HD 150433   	2451122	 -40215
250.9643	-26.8089	HD 150698   	2451073	  48229
250.8754	+20.7161	HD 150933   	2451287	 -27880
